id,version,id_code,name,group_code,group_label,tier,phase,likely_phase,phase_rationale,key_figures,primary_source,one_line_pitch,description,connects_to_raw,connects_to_ids,master_table_connections,discipline_phase,discipline_name,source_file,source_date
v5-color-science-and-theory,v5,29,Color Science & Theory,T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,"Physics of light, perceptual color spaces, compositional use. A building block for photography, graphics, data visualization, and design.",Newton|Goethe|Albers|Itten|Fairchild,,,"Physics of light, perceptual color spaces (CIE Lab), psychological response, and compositional use. Unifies filmmaking (grading), algorithmic art (generative palettes), architecture (material/light), and synesthesia.",Photography|cognitive science|physics|design|art history,v5-photography-and-optics|v5-cognitive-science-and-perception|||,"Photography, cogsci, physics, design, art history",6,Design & Making,research-topics-v5.md,2026-03-29
v5-cartography-and-data-visualization,v5,30,Cartography & Data Visualization,T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,"Tufte, Bertin, Cairo. Information made visible. Draws on network science, cognitive science, and graphic design.",Minard|Bertin|Tufte|Cairo|Heer,,,"The intersection of information, design, and perception. Turning technical subjects into clear, expressive representations. Visual reasoning, geographical thinking, and the ethics of representation.",Network science|economics|information retrieval|cognitive science|graphic design,v5-network-science-and-graph-theory|||v5-cognitive-science-and-perception|,"Networks, economics, info retrieval, cogsci, design",6,Design & Making,research-topics-v5.md,2026-03-29
v5-human-computer-interaction-and-interface-design,v5,27,Human-Computer Interaction & Interface Design,T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,"The most direct synthesis of cognitive science, phenomenology, and affordance theory into practice. Norman, Raskin, Bret Victor.",Norman|Raskin|Tognazzini|Bret Victor,,,"Turn theories of mind, form, and information into better tools. Affordances, direct manipulation, cognitive load, and navigation. Bridges retrieval systems, note systems, natural language querying, and architecture-like spatial wayfinding.",Cognitive science|phenomenology|typography|distributed systems|AI agents|game design,v5-cognitive-science-and-perception|v5-phenomenology-and-embodied-experience|v5-typography-and-graphic-design-history||v5-machine-learning-and-statistical-learning-theory|v5-game-design-ludology-and-interactive-systems,"Cogsci, phenomenology, typography, AI agents, games",6,Design & Making,research-topics-v5.md,2026-03-29
v5-game-design-ludology-and-interactive-systems,v5,33,"Game Design, Ludology & Interactive Systems",T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,The great synthesis discipline: narrative + interaction + simulation + decision-making + procedural generation + AI. Best saved for late in this phase because it draws on nearly everything before it.,Crawford|Hunicke|Salen & Zimmerman|Bogost|Schell,,,"A synthesis discipline like filmmaking. Integrates narrative (rhetoric), interaction (HCI), simulation (physics engines), decision-making (game theory), procedural generation (algorithmic art), and AI (agent behavior). Covers the MDA framework (mechanics-dynamics-aesthetics), emergent gameplay, procedural content generation, and the ludology vs. narratology debate. From board games through digital play to serious games and gamification.",Rhetoric|HCI|simulation & physics engines|game theory|algorithmic art|AI|decision theory|cognitive science,v5-rhetoric-narrative-theory-and-story-systems|v5-human-computer-interaction-and-interface-design|v5-simulation-and-physics-engines|v5-game-theory-and-mechanism-design||v5-machine-learning-and-statistical-learning-theory|v5-decision-theory-and-rationality|v5-cognitive-science-and-perception,"Rhetoric, HCI, simulation, game theory, AI, cogsci",6,Design & Making,research-topics-v5.md,2026-03-29
v5-computer-graphics-and-computational-imaging,v5,32,Computer Graphics & Computational Imaging,T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,"Rendering, shading, geometry processing, synthetic vision. The computational construction of visible worlds.",Catmull|Blinn|Szeliski|Levoy|Glassner,,,"The computational construction of visible worlds. Geometry, rendering, shading, image formation, camera models, computational photography, and synthetic perception. Bridges mathematics, optics, design, simulation, game engines, visual art, and machine vision. A natural synthesis topic for the vault's interests in space, representation, and digital media.",Geometry|photography|optics|simulation|game design|DSP|HCI|machine learning,v5-geometry-topology-and-spatial-computation|v5-photography-and-optics||v5-simulation-and-physics-engines|v5-game-design-ludology-and-interactive-systems||v5-human-computer-interaction-and-interface-design|v5-machine-learning-and-statistical-learning-theory,"Geometry, photography, simulation, game design, ML",6,Design & Making,research-topics-v5.md,2026-03-29
v5-pattern-languages-design-methods-and-morphological-analysis,v5,26,"Pattern Languages, Design Methods & Morphological Analysis",T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,"Start with method itself — how to move from principles to form, from constraints to alternatives. Alexander's pattern languages as a meta-discipline for everything in this phase.",Christopher Alexander|Zwicky|Jones|Pahl & Beitz|Dubberly,,,"Reusable form-generating methods across design domains. Pattern languages, design grammars, combinatorial exploration, structured ideation, and problem decomposition. This topic turns the vault's connective instinct into explicit method: how one moves from principles to form, from constraints to alternatives, and from local decisions to coherent wholes.",Architecture|systems design|HCI|game design|software architecture|biomimicry|notation systems|organizational design,||v5-human-computer-interaction-and-interface-design|v5-game-design-ludology-and-interactive-systems||v5-biomimicry-and-nature-inspired-design||,"Architecture, systems, HCI, game design, software arch",6,Design & Making,research-topics-v5.md,2026-03-29
v5-geometry-topology-and-spatial-computation,v5,51,"Geometry, Topology & Spatial Computation",T3,"Tier 3: Design, Representation & Interactive Form",T3,10,,"Shape, continuity, transformation, and spatial reasoning. Differential geometry, computational topology. The mathematical language of form.",Euclid|Gauss|Riemann|Poincaré|Perlin,,,"Shape, continuity, surface, symmetry, transformation, and spatial reasoning. Fills gaps between Fuller, architecture, generative art, graphics, and physics simulation. Differential geometry for understanding form.",Category theory|complex systems|computer graphics|physics|architecture|mathematical physics|morphogenesis,v5-category-theory-and-abstract-algebra|v5-complex-systems-and-chaos-theory|v5-computer-graphics-and-computational-imaging|||v5-mathematical-physics-and-symmetry|v5-morphogenesis-and-biological-pattern-formation,"Category theory, graphics, physics, architecture",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-biomimicry-and-nature-inspired-design,v5,34,Biomimicry & Nature-Inspired Design,T3,"Tier 3: Design, Representation & Interactive Form",T3,7,,"The accessible entry: nature as design mentor. Gaudí, Fuller, termite mounds, L-systems.",Benyus|Vincent|Thompson (On Growth and Form),,,"Nature's 3.8 billion years of R&D. From Gaudí's forms to Fuller's geodesics, genetic algorithms to termite mound ventilation. Connects evolution, structural engineering, generative art (L-systems), and sustainability.",Complex systems|evolution|architecture|robotics|materials science|morphogenesis,v5-complex-systems-and-chaos-theory|||v5-robotics-and-embodied-intelligence|v5-materials-science-metamaterials-and-programmable-matter|v5-morphogenesis-and-biological-pattern-formation,"Complex systems, evolution, architecture, materials",7,"Life, Form & Nature",research-topics-v5.md,2026-03-29
v5-morphogenesis-and-biological-pattern-formation,v5,35,Morphogenesis & Biological Pattern Formation,T3,"Tier 3: Design, Representation & Interactive Form",T3,7,,"How form emerges from process. Turing's reaction-diffusion, phyllotaxis, morphogen gradients. Deepens biomimicry with developmental biology.",D'Arcy Thompson|Turing|Meinhardt|Prusinkiewicz|Kondo,,,"How form emerges from process at the biological level — the most literal expression of the vault's central theme. Turing's reaction-diffusion patterns, L-systems (Lindenmayer grammars for plant growth), phyllotaxis (Fibonacci spirals in nature), gastrulation, and morphogen gradients. Connects developmental biology to generative art (reaction-diffusion algorithms are a creative coding staple), architecture (growth-based parametric design), evolution (evo-devo), and mathematics (dynamical systems on manifolds).",Evolution|biomimicry|generative art|complex systems|geometry/topology|artificial life|architecture|mathematical physics,|v5-biomimicry-and-nature-inspired-design||v5-complex-systems-and-chaos-theory|v5-geometry-topology-and-spatial-computation|v5-artificial-life-and-self-organization||v5-mathematical-physics-and-symmetry,"Evolution, biomimicry, generative art, ALife, geometry",7,"Life, Form & Nature",research-topics-v5.md,2026-03-29
v5-simulation-and-physics-engines,v5,48,Simulation & Physics Engines,T3,"Tier 3: Design, Representation & Interactive Form",T3,9,,"Rigid body dynamics, fluid simulation, agent-based models. The computational laboratory for testing ideas from every earlier phase. The entire Tier 3 is now complete.",Jos Stam|Müller|Fedkiw|Terzopoulos,,,"From rigid body dynamics to fluid simulation to agent-based models. Practical synthesis linking algorithmic art, architecture, evolution, and digital world-building.",Graphics|complex systems|robotics|game design|numerical methods|artificial life,|v5-complex-systems-and-chaos-theory|v5-robotics-and-embodied-intelligence|v5-game-design-ludology-and-interactive-systems||v5-artificial-life-and-self-organization,"Graphics, complex systems, robotics, games, ALife",9,"Signal, Sound & Simulation",research-topics-v5.md,2026-03-29
v5-musical-acoustics-and-psychoacoustics,v5,46,Musical Acoustics & Psychoacoustics,T3,"Tier 3: Design, Representation & Interactive Form",T3,9,,"Physics of sound, auditory perception, room acoustics. Bridges DSP (technical) to music theory (aesthetic).",Helmholtz|Fletcher|Moore|Roads|Cook,,,"Physics of sound production, auditory perception (pitch, timbre, spatial hearing), room acoustics, and the perception of musical structure. Bridges the gap between DSP (technical) and music theory (aesthetic).


---",DSP|generative music|cognitive science|phenomenology|architecture (acoustic space),|v5-generative-music-and-algorithmic-composition|v5-cognitive-science-and-perception|v5-phenomenology-and-embodied-experience|,"DSP, generative music, cogsci, architecture",9,"Signal, Sound & Simulation",research-topics-v5.md,2026-03-29
v5-decision-theory-and-rationality,v5,39,Decision Theory & Rationality,T4,Tier 4: Scientific & Technical Deep-Dives,T4,8,,"How action follows from belief under uncertainty. Expected utility, prospect theory, logical induction. The entry point for formal reasoning about choice.",von Neumann|Morgenstern|Savage|Kahneman|Tversky,,,"How action should follow from belief under uncertainty. Bridges probability, behavioral economics, game theory, AI agents, and forecasting. From expected utility to prospect theory to logical induction.",Game theory|epistemology|AI|economics|operations research|machine learning|game design,v5-game-theory-and-mechanism-design|v5-epistemology-and-philosophy-of-knowledge|v5-machine-learning-and-statistical-learning-theory||v5-operations-research-and-optimization|v5-machine-learning-and-statistical-learning-theory|v5-game-design-ludology-and-interactive-systems,"Game theory, epistemology, AI, economics, ML",8,Quantitative Reasoning & Decision,research-topics-v5.md,2026-03-29
v5-game-theory-and-mechanism-design,v5,40,Game Theory & Mechanism Design,T4,Tier 4: Scientific & Technical Deep-Dives,T4,8,,"Mathematics of strategic interaction. Nash equilibria, auction theory, incentive design. Builds directly on decision theory.",Nash|Shapley|Myerson|Maskin|Roughgarden,,,"Mathematics of strategic interaction. Nash equilibria, auction theory, cooperative games, evolutionary stable strategies, and incentive-compatible mechanism design. Essential for crypto, economics, multi-agent systems, and governance.",Economics|evolution|distributed systems|decision theory|anthropology|game design,|||v5-decision-theory-and-rationality|v5-anthropology-cultural-evolution-and-technology-studies|v5-game-design-ludology-and-interactive-systems,"Economics, evolution, distributed systems, decision theory",8,Quantitative Reasoning & Decision,research-topics-v5.md,2026-03-29
v5-measurement-theory-metrology-and-representation,v5,44,"Measurement Theory, Metrology & Representation",T4,Tier 4: Scientific & Technical Deep-Dives,T4,8,,"What does it mean to measure something well? Scales, invariance, validity. A philosophical capstone to the quantitative phase.",Stevens|Campbell|Rasch|Kelvin|Bridgman,,,"The science and philosophy of what it means to measure something well. Scales, units, invariance, operational definitions, validity, precision, and representational adequacy. A foundational topic connecting science, design, information, notation, and modeling. It asks where representation becomes distortion, and how quantification enables discovery while also hiding assumptions.


---",Philosophy of science|information theory|statistics|notation systems|cartography|design|epistemology|machine learning,v5-history-and-philosophy-of-science|v5-information-theory|v7-statistics-classical-and-modern||v5-cartography-and-data-visualization||v5-epistemology-and-philosophy-of-knowledge|v5-machine-learning-and-statistical-learning-theory,"Phil of science, info theory, statistics, epistemology",8,Quantitative Reasoning & Decision,research-topics-v5.md,2026-03-29
v5-operations-research-and-optimization,v5,43,Operations Research & Optimization,T4,Tier 4: Scientific & Technical Deep-Dives,T4,8,,"Linear programming, scheduling, queuing, resource allocation. The mathematical toolkit for planning and logistics.",Dantzig|Kantorovich|Bellman|convex optimization,,,"Linear programming, scheduling, queuing, resource allocation, and optimization under constraints. The mathematical toolkit for logistics, distributed systems, and planning.",Game theory|economics|computer science|control theory|AI|machine learning,v5-game-theory-and-mechanism-design|||v5-cybernetics-and-control-theory|v5-machine-learning-and-statistical-learning-theory|v5-machine-learning-and-statistical-learning-theory,"Game theory, economics, CS, control theory, AI",8,Quantitative Reasoning & Decision,research-topics-v5.md,2026-03-29
v5-digital-signal-processing-dsp,v5,45,Digital Signal Processing (DSP),T4,Tier 4: Scientific & Technical Deep-Dives,T4,9,,"Sampling, filtering, Fourier transforms, spectral analysis. The technical core beneath software synthesis, music, film, and photography.",Nyquist|Shannon|Oppenheim|Smith,,,"Sampling, filtering, Fourier/Laplace transforms, convolution, spectral analysis. The technical core beneath software synthesis, music, filmmaking, photography, and algorithmic media.",Information theory|psychoacoustics|image processing|control theory|electronics,v5-information-theory|||v5-cybernetics-and-control-theory|,"Info theory, psychoacoustics, image processing, control",9,"Signal, Sound & Simulation",research-topics-v5.md,2026-03-29
v5-compiler-design-and-programming-language-theory,v5,53,Compiler Design & Programming Language Theory,T4,Tier 4: Scientific & Technical Deep-Dives,T4,10,,"Parsing, type systems, semantics, optimization. Bridges abstraction and execution. Natural extension from lambda calculus and category theory.",Aho|Ullman|Appel|Pierce|Harper,,,"Parsing, type systems, semantics, optimization, and language design philosophy. Natural extension from lambda calculus and automata. Bridges abstraction and execution.",Category theory|logic|computation theory|software engineering,v5-category-theory-and-abstract-algebra|v5-logic-formal-semantics-and-model-theory||,"Category theory, logic, computation, software eng",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-quantum-computing-and-quantum-information,v5,52,Quantum Computing & Quantum Information,T4,Tier 4: Scientific & Technical Deep-Dives,T4,10,,"Qubits, superposition, entanglement, error correction, post-quantum crypto. Extends computation theory to the non-classical frontier.",Feynman|Deutsch|Shor|Preskill,,,"Qubits, superposition, entanglement, quantum error correction, and post-quantum cryptography. Extends computation theory to the non-classical frontier.",Information theory|computation theory|cryptography|physics|complexity theory|mathematical physics,v5-information-theory|||||v5-mathematical-physics-and-symmetry,"Info theory, computation, crypto, physics, math physics",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-robotics-and-embodied-intelligence,v5,55,Robotics & Embodied Intelligence,T4,Tier 4: Scientific & Technical Deep-Dives,T4,10,,"Physical presence changes everything about intelligence. Control theory + perception + planning + evolution + morphology + philosophy of mind, in hardware.",Brooks|Moravec|Braitenberg|Pfeifer|Bongard,,,"Physical presence changes everything about intelligence. Connects control theory, perception, planning, evolution (evolutionary robotics), morphology, and philosophy of mind.",Cybernetics|AI|embodied cognition|complex systems|materials science,v5-cybernetics-and-control-theory|v5-machine-learning-and-statistical-learning-theory||v5-complex-systems-and-chaos-theory|v5-materials-science-metamaterials-and-programmable-matter,"Cybernetics, AI, embodied cognition, complex systems",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-thermodynamics-statistical-mechanics-and-arrow-of-time,v5,49,"Thermodynamics, Statistical Mechanics & Arrow of Time",T4,Tier 4: Scientific & Technical Deep-Dives,T4,10,,"Entropy as physics, information, and computation. Dissipative structures. Why time has a direction and how life maintains itself against entropy.",Boltzmann|Gibbs|Prigogine|Zurek,,,"Entropy as a physical, informational, and computational concept. Dissipative structures, non-equilibrium thermodynamics, and the statistical foundations of complexity. Explains why time has a direction and how life maintains itself against entropy.",Information theory|complex systems|physics|economics (energy flows)|life sciences|morphogenesis|mathematical physics,v5-information-theory|v5-complex-systems-and-chaos-theory||||v5-morphogenesis-and-biological-pattern-formation|v5-mathematical-physics-and-symmetry,"Info theory, complex systems, physics, morphogenesis",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-machine-learning-and-statistical-learning-theory,v5,42,Machine Learning & Statistical Learning Theory,T4,Tier 4: Scientific & Technical Deep-Dives,T4,8,,"The core ML paradigm. Supervised/unsupervised learning, generalization, deep learning. Best absorbed after information theory, probability, and optimization intuitions.",Vapnik|Hastie|Tibshirani|Bengio|Pearl,,,"The core ML paradigm missing from the vault despite extensive coverage of adjacent domains. Supervised and unsupervised learning, generalization theory, bias-variance tradeoff, regularization, deep learning architectures, kernel methods, and causal inference. The vault has probability (mathematical foundation), GA-GP (evolutionary optimization), NLP (application domain), and information retrieval (search/ranking) — but no unified treatment of how machines learn from data.",Probability|information theory|optimization|neuroscience|cognitive science|decision theory|DSP|artificial life,|v5-information-theory||v5-neuroscience-and-neural-computation|v5-cognitive-science-and-perception|v5-decision-theory-and-rationality||v5-artificial-life-and-self-organization,"Probability, info theory, optimization, neuro, cogsci",8,Quantitative Reasoning & Decision,research-topics-v5.md,2026-03-29
v5-mathematical-physics-and-symmetry,v5,50,Mathematical Physics & Symmetry,T4,Tier 4: Scientific & Technical Deep-Dives,T4,10,,"Noether's theorem, group theory in physics, gauge invariance. Symmetry as the organizing principle of physical law. Draws on category theory, geometry, and music theory.",Noether|Weyl|Wigner|Baez|Penrose,,,"Symmetry as the organizing principle of physical law. Noether's theorem (every continuous symmetry yields a conservation law), group theory in physics (Lie groups, gauge invariance), and the deep role of symmetry across domains: music (transformational theory, Lewin), architecture (spatial symmetry groups), generative art (symmetry-breaking as aesthetic device), and category theory (functorial physics). From crystallography to gauge field theory — the mathematics of invariance and transformation.",Relativity|quantum computing|geometry/topology|category theory|music theory|architecture|generative art|thermodynamics,|v5-quantum-computing-and-quantum-information|v5-geometry-topology-and-spatial-computation|v5-category-theory-and-abstract-algebra||||v5-thermodynamics-statistical-mechanics-and-arrow-of-time,"Quantum, geometry, category theory, music, architecture",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-neuroscience-and-neural-computation,v5,54,Neuroscience & Neural Computation,T4,Tier 4: Scientific & Technical Deep-Dives,T4,10,,"The biological hardware beneath cognition. Neural coding, Hebbian learning, connectomics. Where cognitive science asks *what* the mind computes, neuroscience asks *how*.",Hodgkin|Huxley|Hebb|Kandel|Dayan|Abbott,,,"The biological hardware beneath cognition. Neural coding, spiking networks, Hebbian learning (""neurons that fire together wire together""), synaptic plasticity, connectomics, and computational neuroscience models. Where cognitive science asks what the mind computes, neuroscience asks how biological circuits implement it. Bridges to AI (neural network architectures as brain-inspired abstractions), evolution (nervous system evolution), psychoacoustics (auditory cortex processing), and philosophy of mind (neural correlates of consciousness).",Cognitive science|AI|evolution|DSP|philosophy of mind|psychoacoustics|complex systems|machine learning,v5-cognitive-science-and-perception|v5-machine-learning-and-statistical-learning-theory|||v5-philosophy-of-mind-and-consciousness||v5-complex-systems-and-chaos-theory|v5-machine-learning-and-statistical-learning-theory,"Cogsci, AI, evolution, DSP, phil of mind, ML",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-materials-science-metamaterials-and-programmable-matter,v5,56,"Materials Science, Metamaterials & Programmable Matter",T4,Tier 4: Scientific & Technical Deep-Dives,T4,10,,"The physical substrate connecting architecture, Fuller, and biomimicry. From tensegrity to DNA origami — how matter becomes medium. The entire Tier 4 is now complete.",Ashby|Lakes|Smith|Tibbits|Oxman,,,"The physical substrate connecting architecture, Fuller, and biomimicry. Material properties (strength, elasticity, conductivity), metamaterials (engineered structures with properties not found in nature — negative refractive index, acoustic cloaking), and programmable matter (self-assembling structures, 4D printing). Neri Oxman's ""material ecology"" synthesizes computational design, biology, and fabrication. From Fuller's tensegrity to self-healing concrete to DNA origami — how matter becomes medium.",Architecture|biomimicry|Fuller|physics|nanotechnology|robotics|geometry/topology,|v5-biomimicry-and-nature-inspired-design||||v5-robotics-and-embodied-intelligence|v5-geometry-topology-and-spatial-computation,"Architecture, biomimicry, Fuller, physics, robotics",10,Frontiers & Deep Structure,research-topics-v5.md,2026-03-29
v5-evolutionary-developmental-biology-evo-devo,v5,37,Evolutionary Developmental Biology (Evo-Devo),T4,Tier 4: Scientific & Technical Deep-Dives,T4,7,,How developmental programs generate evolutionary novelty. The synthesis of evolution and form — best studied after morphogenesis and ALife.,Sean Carroll|Kirschner|Gerhart|Raff|Wagner,,,"The synthesis of evolution and development: how changes in developmental programs generate evolutionary novelty and recurring form. Moves beyond evolution as selection alone and shows how genes, developmental constraints, modularity, and morphology interact. A natural deepening of morphogenesis, biomimicry, artificial life, and evolutionary thinking.


---",Evolution|morphogenesis|biomimicry|artificial life|developmental biology|complex systems|architecture|materials science,|v5-morphogenesis-and-biological-pattern-formation|v5-biomimicry-and-nature-inspired-design|v5-artificial-life-and-self-organization||v5-complex-systems-and-chaos-theory||v5-materials-science-metamaterials-and-programmable-matter,"Evolution, morphogenesis, biomimicry, ALife, complex sys",7,"Life, Form & Nature",research-topics-v5.md,2026-03-29
v6-fractal-geometry-and-self-similarity,v6,A1,Fractal Geometry & Self-Similarity,A,Tier A — High-Leverage Bridges,A,,2 or 7,,Mandelbrot|Hausdorff|Barnsley|Falconer|Peitgen,,,"Self-similar structure across scales — the mathematical skeleton beneath coastlines, lungs, turbulence, market fluctuations, and generative art. Iterated function systems, fractal dimension (Hausdorff, box-counting), L-systems as recursive generators, multifractals, and the diffusion-limited-aggregation algorithms that show up in both biology and creative code. Oddly absent from v5 despite Wolfram's rule-space, chaos theory, morphogenesis, and algorithmic art all implicitly depending on it. A natural bridge because fractality is the *form* that nonlinear dynamics takes and the *aesthetic* that generative art inherits.",Complex Systems & Chaos Theory|Geometry & Topology|Morphogenesis|Algorithmic Art & Creative Coding|Stephen Wolfram|Biomimicry|Dynamical Systems,v5-complex-systems-and-chaos-theory||v5-morphogenesis-and-biological-pattern-formation|||v5-biomimicry-and-nature-inspired-design|v5-dynamical-systems-and-bifurcation-theory,"Complex Systems, Geometry, Morphogenesis, Algorithmic Art",2,Structure & Connection,research-topics-v6.md,2026-04-16
v6-enactivism-and-enactive-cognition,v6,A2,Enactivism & Enactive Cognition,A,Tier A — High-Leverage Bridges,A,,3,,Varela|Maturana|Thompson|Rosch|Di Paolo|Gallagher,,,"The ""fourth E"" of 4E cognition (embodied, embedded, extended, enacted) — the view that cognition is a *self-constituting activity* of the living system, not a representational layer laid over matter. Autopoiesis, sense-making, participatory sense-making, and the radical claim that the mind has no pre-given world to represent because the world is co-enacted. Sits between the phenomenology v5 plans and the ecological/affordance line, and is the conceptual bridge that ties Varela's work in Artificial Life to his work in cognition.",Cognitive Science|Philosophy of Mind|Artificial Life|Ecological Psychology|Distributed Cognition|Eastern Philosophy|Robotics & Embodied Intelligence,v5-cognitive-science-and-perception|v5-philosophy-of-mind-and-consciousness|v5-artificial-life-and-self-organization|v5-ecological-psychology-and-affordance-theory|v5-distributed-cognition-and-the-extended-mind|v5-eastern-philosophy|v5-robotics-and-embodied-intelligence,"Cogsci, Phil of Mind, ALife, Ecological Psych",3,Mind & Perception,research-topics-v6.md,2026-04-16
v6-process-philosophy,v6,A3,Process Philosophy,A,Tier A — High-Leverage Bridges,A,,5,,Whitehead|Bergson|Deleuze|Simondon|Rescher,,,"Reality as event, flow, and becoming rather than substance. The metaphysical counterpart to dynamical systems and morphogenesis: Simondon's *individuation* explains how form precipitates out of metastable fields; Whitehead's ""actual occasions"" furnish a vocabulary for a world modeled by differential equations rather than fixed categories; Bergson's *durée* reframes time as continuous creation rather than discrete sequence. Provides interpretive scaffolding for everything the vault already treats as dynamic, emergent, or self-organizing.",Dynamical Systems|Morphogenesis|Eastern Philosophy|Phenomenology|Complex Systems|Philosophy of Mind|Cybernetics,v5-dynamical-systems-and-bifurcation-theory|v5-morphogenesis-and-biological-pattern-formation|v5-eastern-philosophy|v5-phenomenology-and-embodied-experience|v5-complex-systems-and-chaos-theory|v5-philosophy-of-mind-and-consciousness|v5-cybernetics-and-control-theory,"Dynamical Systems, Morphogenesis, Eastern Phil",5,"Culture, History & Worldview",research-topics-v6.md,2026-04-16
v6-metaphor-theory-and-conceptual-blending,v6,A4,Metaphor Theory & Conceptual Blending,A,Tier A — High-Leverage Bridges,A,,4,,Lakoff|Johnson|Fauconnier|Turner|Gentner,,,"How abstract thought is scaffolded by cross-domain mappings — ""argument is war,"" ""time is money,"" ""theories are buildings."" Conceptual blending (Fauconnier & Turner) is a unified model for analogy, humor, design thinking, and scientific insight. This is both a pragmatic bridge between linguistics, cognitive science, design, and pedagogy, and a *self-referential* topic: it explains why the vault's own project of cross-domain synthesis works cognitively.",Linguistics|Cognitive Science|Semiotics|Pattern Languages|Rhetoric & Narrative|Writing Systems & Notation|Machine Learning (analogy-based reasoning),v5-linguistics-and-natural-language-structure|v5-cognitive-science-and-perception|v5-semiotics-structuralism-and-the-science-of-signs|v5-pattern-languages-design-methods-and-morphological-analysis|||,"Linguistics, Cogsci, Semiotics, Pattern Languages",4,"Language, Signs & Representation",research-topics-v6.md,2026-04-16
v6-memory-mnemonic-systems-and-externalized-knowledge,v6,A5,"Memory, Mnemonic Systems & Externalized Knowledge",A,Tier A — High-Leverage Bridges,A,,4 or 5,,Frances Yates|Mary Carruthers|Vannevar Bush|Engelbart|Luria|Ebbinghaus,,,"The method of loci, memory palaces, medieval mnemonic arts, and the modern continuation of that project in Bush's Memex, Engelbart's NLS, Nelson's Xanadu, and today's personal knowledge bases. Uniquely relevant because it directly concerns *the vault's own practice* — why structured external memory amplifies cognition. A tight companion to the planned Writing Systems topic and to Distributed Cognition.",Distributed Cognition|Writing Systems & Notation|Cognitive Science|History of Computing|Information Retrieval|Information Architecture|HCI,v5-distributed-cognition-and-the-extended-mind||v5-cognitive-science-and-perception|v5-history-of-computing-and-the-personal-computer-revolution||v6-information-architecture|v5-human-computer-interaction-and-interface-design,"Distributed Cog, Writing Systems, History of Computing",4,"Language, Signs & Representation",research-topics-v6.md,2026-04-16
v6-ecology-and-ecosystem-dynamics,v6,A6,Ecology & Ecosystem Dynamics,A,Tier A — High-Leverage Bridges,A,,7,,E. Odum|H.T. Odum|MacArthur|Levins|Holling|Ostrom,,,"Trophic cascades, energy flows, carrying capacity, resilience, regime shifts, and panarchy — the ""systems thinking of living systems."" Holling's adaptive cycle is a direct complement to cybernetic feedback and systems dynamics; the Odums' energy-flow accounting is the most concrete expression of thermodynamics applied to biology; Ostrom's commons work provides the institutional bridge to collective intelligence. Essentially the missing ecological layer between Evolution and Systems Thinking.",Systems Thinking|Cybernetics|Evolution|Collective Intelligence|Economics|Complex Systems|Thermodynamics|Biomimicry,v5-systems-thinking-and-system-dynamics|v5-cybernetics-and-control-theory||v5-collective-intelligence-and-coordination-systems||v5-complex-systems-and-chaos-theory|v5-thermodynamics-statistical-mechanics-and-arrow-of-time|v5-biomimicry-and-nature-inspired-design,"Systems, Cybernetics, Evolution, Collective Intelligence",7,"Life, Form & Nature",research-topics-v6.md,2026-04-16
v6-type-theory-and-homotopy-type-theory,v6,A7,Type Theory & Homotopy Type Theory,A,Tier A — High-Leverage Bridges,A,,10,,Martin-Löf|Howard|Voevodsky|Awodey|Coquand,,,"Propositions-as-types, dependent types, identity types, and the Univalent Foundations programme. The deepest working synthesis of logic, mathematics, and computation — the place where category theory, formal proofs, and programming languages converge into a single subject. A natural successor to Category Theory in the vault and a prerequisite for engagement with proof assistants (Lean, Coq, Agda). Pairs naturally with the v5 topics on Compiler Design and Logic.",Category Theory|Theory of Computation|Logic & Formal Semantics|Philosophy of Mathematics|Compiler Design|Software Architecture,v5-category-theory-and-abstract-algebra|||v5-philosophy-of-mathematics|v5-compiler-design-and-programming-language-theory|,"Category Theory, Logic, Computation, Compilers",10,Frontiers & Deep Structure,research-topics-v6.md,2026-04-16
